"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"123358","552.980","Mensageria","980","552","2","MENSAGERIA","SESAP","552.980","Secretaria de Engenharia e Serviços de Apoio"
"123359","678.439","Cerimonial TCDF","439","678","2","CERIMONIAL","PRESIDÊNCIA","678.439","Presidência"
"123360","555.996","Portaria SEDE","996","555","1","Portaria SEDE","SESOP","555.996","Serviço de Segurança e Suporte Operacional"
"123361","454.794","Gerência de Suporte e Monitoramento","794","454","2","GESUM","STI","454.794","Secretaria de Tecnologia da Informação"
"123362","280.548","Secretaria de Gestão de Pessoas","548","280","3","SEGEP","TCDF","280.548","Tribunal de Contas do Distrito Federal"
"123363","503.975","Secretaria de Acompanhamento","975","503","1","SEACOMP","SEGECEX","503.975","Secretaria-Geral de Controle Externo"
"123364","269.999","Sala de reunião Plenário","999","269","1","Sala de reunião","SS/GAB","269.999","Secretaria das Sessões"
"123365","678.519","Secretaria de Fiscalização de Pessoal","519","678","2","SEFIPE","PRESIDÊNCIA","678.519","Presidência"
"123366","506.509","3ª Divisão de Contas","509","506","1","DICONT3","SECONT","506.509","Secretaria de Contas"
"123367","552.987","Sala dos Motoristas Subsolo","987","552","2","Motoristas","SESAP","552.987","Secretaria de Engenharia e Serviços de Apoio"
"123368","551.551","Supervisão de Atendimento e Apoio aos Aposentados e Pensionistas","551","551","4","SAP","SAP","551.551","Supervisão de Atendimento e Apoio aos Aposentados e Pensionistas"
"123369","503.671","Primeira Divisão de Fiscalização de Pessoal","671","503","2","DIFIPE1","SEGECEX","503.671","Secretaria-Geral de Controle Externo"
"123370","678.558","Coordenadoria de Biblioteca, Gestão da Informação e do Conhecimento","558","678","2","COBGI","PRESIDÊNCIA","678.558","Presidência"
"123371","552.552","Secretaria de Engenharia e Serviços de Apoio","552","552","4","SESAP","SESAP","552.552","Secretaria de Engenharia e Serviços de Apoio"
"123372","552.1009","Recepção ESCON","1.009","552","2","Recepção ESCON","SESAP","552.1009","Secretaria de Engenharia e Serviços de Apoio"
"123373","548.841","Supervisão de Desenvolvimento de Competências","841","548","2","SDC","SEGEP","548.841","Secretaria de Gestão de Pessoas"
"123374","555.961","Copa 5º Andar","961","555","1","Copa 5º Andar","SESOP","555.961","Serviço de Segurança e Suporte Operacional"
"123375","638.651","Protocolo Documental","651","638","1","PROTOCOLO","COGEDOC","638.651","Coordenadoria de Gestão de Documentos e Preservação da Memória Institucional"
"123376","506.507","1ª Divisão de Contas","507","506","1","DICONT1","SECONT","506.507","Secretaria de Contas"
"123377","555.1010","Sala da Brigada ESCON","1.010","555","1","BRIGADA ESCON","SESOP","555.1010","Serviço de Segurança e Suporte Operacional"
"123378","925.596","Supervisão de Seleção, Lotação e Estágios","596","925","1","SUSEL","CEDUC","925.596","Coordenadoria de Educação Corporativa"
"123379","552.983","Recepção Hall Sul 8° Andar","983","552","2","Recepção Hall S","SESAP","552.983","Secretaria de Engenharia e Serviços de Apoio"
"123380","555.986","Entrada Garagem Subsolo","986","555","1","Garagem","SESOP","555.986","Serviço de Segurança e Suporte Operacional"
"123381","519.672","Segunda Divisão de Fiscalização de Pessoal","672","519","1","DIFIPE2","SEFIPE","519.672","Secretaria de Fiscalização de Pessoal"
"123382","503.669","Divisão de Fiscalização de Tecnologia da Informação","669","503","2","DIFTI","SEGECEX","503.669","Secretaria-Geral de Controle Externo"
"123383","678.922","Quarta Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","922","678","3","DIASP4","PRESIDÊNCIA","678.922","Presidência"
"123384","555.1003","Copa Subsolo","1.003","555","1","Copa Subsolo","SESOP","555.1003","Serviço de Segurança e Suporte Operacional"
"123385","460.460","Gab. Cons. Inácio Magalhães","460","460","4","GCIM","GCIM","460.460","Gab. Cons. Inácio Magalhães"
"123386","555.995","Portaria Visitantes Anexo","995","555","1","Portaria Visita","SESOP","555.995","Serviço de Segurança e Suporte Operacional"
"123387","678.525","Divisão de Contas do Governo","525","678","3","DICOG","PRESIDÊNCIA","678.525","Presidência"
"123388","552.962","Copa 6º Andar","962","552","2","Copa 6º Andar","SESAP","552.962","Secretaria de Engenharia e Serviços de Apoio"
"123389","555.980","Mensageria","980","555","1","MENSAGERIA","SESOP","555.980","Serviço de Segurança e Suporte Operacional"
"123390","552.991","Guarita Estacionamento Anexo","991","552","2","Guarita Anexo","SESAP","552.991","Secretaria de Engenharia e Serviços de Apoio"
"123391","543.545","Secretaria de Licitação, Material e Patrimônio","545","543","1","SELIP","SEGEDAM","543.545","Secretaria-Geral de Administração"
"123392","552.996","Portaria SEDE","996","552","2","Portaria SEDE","SESAP","552.996","Secretaria de Engenharia e Serviços de Apoio"
"123393","555.992","Guarita Estacionamento SEDE","992","555","1","Guarita SEDE","SESOP","555.992","Serviço de Segurança e Suporte Operacional"
"123394","552.956","COPA DO 1º ANDAR DO EDIFÍCIO ANEXO","956","552","2","COPA1ANEXO","SESAP","552.956","Secretaria de Engenharia e Serviços de Apoio"
"123395","678.503","Secretaria-Geral de Controle Externo","503","678","1","SEGECEX","PRESIDÊNCIA","678.503","Presidência"
"123396","669.669","Divisão de Fiscalização de Tecnologia da Informação","669","669","4","DIFTI","DIFTI","669.669","Divisão de Fiscalização de Tecnologia da Informação"
"123397","673.673","Terceira Divisão de Fiscalização de Pessoal","673","673","4","DIFIPE3","DIFIPE3","673.673","Terceira Divisão de Fiscalização de Pessoal"
"123398","454.904","Ateliê de Software","904","454","3","ATELIE","STI","454.904","Secretaria de Tecnologia da Informação"
"123399","594.683","Supervisão de Disseminação de Informação e Gestão de Acervos","683","594","2","COBGI/SGA","ESCON","594.683","Escola de Contas Públicas"
"123400","975.976","Primeira Divisão de Acompanhamento","976","975","1","DIACOMP1","SEACOMP","975.976","Secretaria de Acompanhamento"
"123401","577.577","Ouvidoria do Tribunal de Contas do DF","577","577","4","OUVIDORIA","OUVIDORIA","577.577","Ouvidoria do Tribunal de Contas do DF"
"123402","852.852","Serviço de Apoio Técnico e Operacional","852","852","4","SS/SEAT","SS/SEAT","852.852","Serviço de Apoio Técnico e Operacional"
"123403","555.1006","Assessoria","1.006","555","1","Assessoria","SESOP","555.1006","Serviço de Segurança e Suporte Operacional"
"123404","942.942","Terceira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","942","942","4","DIGEM3","DIGEM3","942.942","Terceira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123405","920.920","Supervisão de Qualidade de Vida","920","920","4","SUQUALI","SUQUALI","920.920","Supervisão de Qualidade de Vida"
"123406","552.560","Supervisão de Pesquisa e Disseminação da Informação","560","552","1","SPDI","SESAP","552.560","Secretaria de Engenharia e Serviços de Apoio"
"123407","594.927","Supervisão de Legislação e Jurisprudência","927","594","2","SLJ","ESCON","594.927","Escola de Contas Públicas"
"123408","1051.1051","Serviço de Memória Institucional","1.051","1.051","4","SEMEMO","SEMEMO","1051.1051","Serviço de Memória Institucional"
"123409","678.549","Serviço de Desenvolvimento de Competências","549","678","3","SEDEC","PRESIDÊNCIA","678.549","Presidência"
"123410","678.929","Coordenadoria de Acompanhamento de Débitos e Multas","929","678","3","CADEM","PRESIDÊNCIA","678.929","Presidência"
"123411","552.1007","Controle de Veículos","1.007","552","2","Controle de Veí","SESAP","552.1007","Secretaria de Engenharia e Serviços de Apoio"
"123412","552.1005","Copa ESCON","1.005","552","2","Copa ESCON","SESAP","552.1005","Secretaria de Engenharia e Serviços de Apoio"
"123413","553.553","Serviço de Manutenção","553","553","4","SEMAN ","SEMAN ","553.553","Serviço de Manutenção"
"123414","678.978","Terceira Divisão de Acompanhamento","978","678","3","DIACOMP3","PRESIDÊNCIA","678.978","Presidência"
"123415","678.999","Sala de reunião Plenário","999","678","2","Sala de reunião","PRESIDÊNCIA","678.999","Presidência"
"123416","678.543","Secretaria-Geral de Administração","543","678","1","SEGEDAM","PRESIDÊNCIA","678.543","Presidência"
"123417","916.954","Supervisão de Cadastro e Atendimento ao Beneficiário","954","916","2","SUCAD","SESBE","916.954","Secretaria de Saúde, Qualidade de Vida e Bem-Estar"
"123418","678.790","Gerência de Processos de Negócio","790","678","3","GEPRON","PRESIDÊNCIA","678.790","Presidência"
"123419","678.973","Quarta Divisão de Auditoria","973","678","3","DIAUD4","PRESIDÊNCIA","678.973","Presidência"
"123420","553.1002","Sala de Transmissão","1.002","553","1","Sala de Transmi","SEMAN ","553.1002","Serviço de Manutenção"
"123421","788.904","Ateliê de Software","904","788","2","ATELIE","COSIP","788.904","Coordenação de Sistemas e Processos"
"123422","970.970","Primeira Divisão de Auditoria","970","970","4","DIAUD1","DIAUD1","970.970","Primeira Divisão de Auditoria"
"123423","957.957","Copa 1º Andar","957","957","4","Copa 1º Andar","Copa 1º Andar","957.957","Copa 1º Andar"
"123424","183.183","Setor de Atendimento ao Público","183","183","4","PUBLICO","PUBLICO","183.183","Setor de Atendimento ao Público"
"123425","678.381","Assessoria de Comunicação Institucional do TCDF (ASCOM)","381","678","2","ASCOM","PRESIDÊNCIA","678.381","Presidência"
"123426","555.988","Sala Segurança Patrimonial Subsolo","988","555","1","Segurança Patri","SESOP","555.988","Serviço de Segurança e Suporte Operacional"
"123427","555.958","Copa 2º Andar","958","555","1","Copa 2º Andar","SESOP","555.958","Serviço de Segurança e Suporte Operacional"
"123428","798.798","Gerência de Recursos Terceiros","798","798","4","GERTE","GERTE","798.798","Gerência de Recursos Terceiros"
"123429","678.840","Divisão de Assistência Direta à Saúde","840","678","3","DSAUD","PRESIDÊNCIA","678.840","Presidência"
"123430","552.959","Copa 3º Andar","959","552","2","Copa 3º Andar","SESAP","552.959","Secretaria de Engenharia e Serviços de Apoio"
"123431","678.442","Comitê de Controle de Qualidade das Auditorias do TCDF","442","678","3","CCQA","PRESIDÊNCIA","678.442","Presidência"
"123432","777.777","Corregedoria do Ministério Público de Contas","777","777","4","MPC/CORREGEDOR","MPC/CORREGEDOR","777.777","Corregedoria do Ministério Público de Contas"
"123433","682.998","Lanchonete","998","682","3","Lanchonete","SGA","682.998","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123434","678.931","Quarta Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","931","678","3","DIGEM4","PRESIDÊNCIA","678.931","Presidência"
"123435","678.852","Serviço de Apoio Técnico e Operacional","852","678","2","SS/SEAT","PRESIDÊNCIA","678.852","Presidência"
"123436","977.977","Segunda Divisão de Acompanhamento","977","977","4","DIACOMP2","DIACOMP2","977.977","Segunda Divisão de Acompanhamento"
"123437","678.796","Gerência de Segurança Cibernética","796","678","3","GESCIB","PRESIDÊNCIA","678.796","Presidência"
"123438","929.929","Coordenadoria de Acompanhamento de Débitos e Multas","929","929","4","CADEM","CADEM","929.929","Coordenadoria de Acompanhamento de Débitos e Multas"
"123439","840.840","Divisão de Assistência Direta à Saúde","840","840","4","DSAUD","DSAUD","840.840","Divisão de Assistência Direta à Saúde"
"123440","880.880","Gabinete do Auditor Vinícius Fragoso","880","880","4","GAVF","GAVF","880.880","Gabinete do Auditor Vinícius Fragoso"
"123441","678.243","Serviço de Execução Orçamentária","243","678","3","SEORC","PRESIDÊNCIA","678.243","Presidência"
"123442","682.994","Portaria Servidor Anexo","994","682","3","Portaria Servid","SGA","682.994","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123443","678.581","Núcleo de Informações Estratégicas","581","678","2","NIE","PRESIDÊNCIA","678.581","Presidência"
"123444","280.534","Membros e servidores inativos do TCDF","534","280","2","INATIVOS","TCDF","280.534","Tribunal de Contas do Distrito Federal"
"123445","552.1010","Sala da Brigada ESCON","1.010","552","2","BRIGADA ESCON","SESAP","552.1010","Secretaria de Engenharia e Serviços de Apoio"
"123446","930.942","Terceira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","942","930","1","DIGEM3","SEGEM","930.942","Secretaria de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123447","678.942","Terceira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","942","678","3","DIGEM3","PRESIDÊNCIA","678.942","Presidência"
"123448","557.557","Serviço de Expedição de Mandados","557","557","4","SS/SEMAND","SS/SEMAND","557.557","Serviço de Expedição de Mandados"
"123449","679.779","Gab. Cons. André Clemente","779","679","1","GCAC","CONSELHEIROS","679.779","Conselheiros"
"123450","678.932","Núcleo de Fiscalização de Projetos de Desestatização","932","678","3","NUFID","PRESIDÊNCIA","678.932","Presidência"
"123451","503.968","Divisão de Avaliação de Políticas Públicas","968","503","2","DIAPP","SEGECEX","503.968","Secretaria-Geral de Controle Externo"
"123452","678.794","Gerência de Suporte e Monitoramento","794","678","3","GESUM","PRESIDÊNCIA","678.794","Presidência"
"123453","1040.1040","Assessoria Técnica de Estudos","1.040","1.040","4","ASTEC","ASTEC","1040.1040","Assessoria Técnica de Estudos"
